City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
185,port alfred,-33.5906,26.891,9.54,71,45,2.68,ZA,1687223673
186,n'dalatando,-9.2978,14.9116,14.77,94,43,0.53,AO,1687224109
187,mermoz boabab,14.7065,-17.4758,27.88,83,40,3.09,SN,1687223871
188,ayorou,14.7308,0.9174,32.47,32,100,7.05,NE,1687224110
189,lata,40.1629,-8.3327,18.78,99,68,0.81,PT,1687223613
190,xining,36.6167,101.7667,15.7,58,100,0.9,CN,1687224110
191,tougue,11.4667,-11.6,20.34,94,100,1.22,GN,1687224110
192,carbonear,47.7332,-53.2148,7.29,96,100,4.12,CA,1687224111
193,tazacorte,28.629,-17.9293,21.54,83,100,2.57,ES,1687223618
194,rocha,-34.4833,-54.3333,8.49,93,100,1.62,UY,1687224111
195,whitby,54.4877,-0.615,16.19,78,100,1.87,GB,1687223919
196,vadso,70.0744,29.7487,7.49,87,40,5.14,NO,1687223627
197,belo sur tsiribihina,-19.7,44.55,16.33,84,0,1.45,MG,1687224112
198,chonchi,-42.6128,-73.8092,2.56,83,0,0.37,CL,1687223650
199,kristiansund,63.1115,7.732,18.36,63,75,0.51,NO,1687224112
200,ghatsila,22.6,86.4833,29.25,66,100,1.53,IN,1687224112
201,tirebolu,41.0069,38.8139,19.76,88,100,2.68,TR,1687224112
202,cassilandia,-19.1133,-51.7342,15.64,67,0,1.81,BR,1687224113
203,codrington,-38.2667,141.9667,9.47,68,100,2.77,AU,1687223618
204,nagqu,31.5,92.0,6.27,71,49,1.75,CN,1687224113
205,enewetak,11.3474,162.3373,27.88,77,81,8.13,MH,1687223629
206,al qubbah,32.7616,22.2424,16.4,76,0,3.59,LY,1687224113
207,coquimbo,-29.9533,-71.3436,13.85,82,0,2.06,CL,1687223596
208,ironwood,46.4547,-90.171,24.45,57,75,1.54,US,1687224114
209,yuni,13.4192,122.4833,29.76,67,99,0.77,PH,1687224114
210,rexburg,43.826,-111.7897,15.99,43,100,4.12,US,1687223984
211,toliara,-23.35,43.6667,19.24,78,0,1.63,MG,1687224114
212,ribnitz-damgarten,54.25,12.4667,18.96,100,52,1.04,DE,1687224114
213,paracuru,-3.41,-39.0306,27.84,83,57,3.9,BR,1687224115
214,lembeni,-3.7833,37.6167,17.64,89,90,1.34,TZ,1687224115
215,vallenar,-28.5708,-70.7581,13.98,63,100,0.51,CL,1687223984
216,namibe,-15.1961,12.1522,17.05,79,70,2.5,AO,1687223624
217,punta arenas,-53.15,-70.9167,4.06,81,0,6.17,CL,1687223482
218,longyearbyen,78.2186,15.6401,4.91,87,75,1.03,SJ,1687223600
219,nedroma,35.0136,-1.748,19.64,62,0,1.43,DZ,1687224116
220,yaren,-0.5472,166.916,28.45,69,100,0.89,NR,1687223689
221,thanh hoa,19.8,105.7667,31.02,63,100,1.1,VN,1687224116
222,monaco,43.7314,7.419,24.12,78,0,1.54,MC,1687224063
223,nyurba,63.2842,118.3319,8.2,89,100,5.47,RU,1687224117
224,devrekani,41.603,33.8392,10.51,95,57,1.7,TR,1687224117
225,madinat sittah uktubar,29.8167,31.05,22.78,80,0,4.47,EG,1687224117
226,howrah,22.5892,88.3103,30.0,89,20,3.6,IN,1687224117
227,la'ie,21.6477,-157.9253,30.98,64,11,3.58,US,1687223719
228,kununurra,-15.7667,128.7333,24.99,29,98,2.57,AU,1687223633
229,el granada,37.5027,-122.4694,20.25,63,0,12.86,US,1687224118
230,kenai,60.5544,-151.2583,16.05,76,100,5.66,US,1687223606
231,port elizabeth,-33.918,25.5701,12.4,57,0,11.32,ZA,1687223604
232,bonanza,14.0289,-84.591,22.62,99,100,1.15,NI,1687224118
233,nova xavantina,-14.6667,-52.35,21.54,48,0,1.2,BR,1687224118
234,iskateley,67.6803,53.1512,3.81,79,23,3.97,RU,1687223633
235,selfoss,63.9331,-20.9971,10.02,90,40,2.45,IS,1687224119
236,gaiman,-43.2897,-65.4929,3.77,65,0,3.8,AR,1687224119
237,tvoroyri,61.5556,-6.8111,10.46,99,100,8.26,FO,1687224119
238,pitimbu,-7.4706,-34.8086,24.33,85,22,3.42,BR,1687224119
239,vila franca do campo,37.7167,-25.4333,18.23,85,82,0.82,PT,1687223665
240,kerikeri,-35.2268,173.9474,16.62,88,21,0.45,NZ,1687223425
241,vilyuysk,63.7553,121.6247,15.16,85,100,3.82,RU,1687223614
242,seririt,-8.1928,114.9388,28.35,58,7,0.63,ID,1687224120
243,mae ramat,16.984,98.5166,24.18,96,100,0.19,TH,1687224120
244,georgetown,5.4112,100.3354,28.96,74,20,0.51,MY,1687223400
245,murillo colonia,26.2565,-98.1133,33.96,64,0,7.72,US,1687224121
246,san pedro de macoris,18.4616,-69.2972,26.34,75,100,3.97,DO,1687224121
247,alofi,-19.0595,-169.9187,25.94,69,40,4.12,NU,1687224121
248,beledweyne,4.7358,45.2036,24.18,73,100,6.91,SO,1687224121
249,broome,42.2506,-75.833,21.97,78,100,2.11,US,1687224122
250,saldanha,-33.0117,17.9442,10.03,68,46,4.14,ZA,1687224122
251,elva,58.2225,26.4211,14.55,85,0,0.51,EE,1687223824
252,shipunovo,52.1582,82.2173,22.84,51,100,8.38,RU,1687224122
253,boa vista,2.8197,-60.6733,25.99,83,20,2.06,BR,1687223829
254,falun,60.6036,15.626,16.23,69,100,0.92,SE,1687224123
255,manokwari,-0.8667,134.0833,27.03,78,100,0.66,ID,1687223588
256,inyonga,-6.7167,32.0667,16.94,59,0,2.06,TZ,1687224123
257,at taj,24.2049,23.2857,25.56,23,0,4.23,LY,1687224123
258,greenville,35.6127,-77.3663,25.64,68,0,2.57,US,1687223686
259,sterling,39.0062,-77.4286,25.44,75,100,5.14,US,1687224002
260,thompson,55.7435,-97.8558,19.09,94,75,1.03,CA,1687223662
261,parambu,-6.2111,-40.6944,20.57,76,0,1.55,BR,1687224124
